id_review,business_id,stars,review_date,text_review,positive_sentiment,neutral_sentiment,negative_sentiment,negativ_sentiment
21459,1,2,2017-01-15,"Got there and lady's was not welcoming but neutral asking if we were ready. Took a while then finally I ordered a special chicken sandwhich.  9 almost 10 dollars for that lemonade and fries(medium). Sat down and my order was ready in less then a minute.  Excited because I was starving then upon opening it looked so dryyyy tasted dry, outside was crunchy. Friends burger was greasy like dripping grease. Fries and drink was bomb. Didn't bother complaining just ate and left. Had to go to pole vault summit. Decided to leave a review instead.",1,0,0,0
21460,2,5,2016-08-13,"I love this crazy chicken.  Probably the cleanest, freshest and friendliest location I have been too in Reno.  Customers are usually interesting species , but even when it's busy and annoying they handle it very well.",1,0,0,0
21461,3,1,2016-02-24,"I typically love KFC but my opinion is changing based on increasing cost and poor service.

Was interested in trying their new Nashville flavor but was advised that it is only offered in strips, as a 2 piece with one side or a bucket. I wanted it in a 3 piece with two sides and was advised that that was not possible. I guess I won't be able to try it.",1,0,0,0
21462,4,1,2018-04-28,"Never coming back. This is the second we've given then. Tonight, they charged us an extra $5, but was easily correct, not a huge deal. Second, the onion rings tasted like vanilla! We ordered a brownie cookie dough blast and got a cookie dough shake instead, the difference of about a dollar. My shake was missing the middle portion(see photo). The only good thing about this trip was the mozzarella sticks. 2 shakes and 2 sides for $15, no thanks.",1,0,0,0
21463,5,4,2016-03-31,"I had spent just about three hours driving between rush hour hell and personal appointments, so food was necessary right at that very moment....period.

Taco Bell is my guilty pleasure fast food joint, and this one happened to be right on my way home. Pulled on in, placed my order with a friendly team member, and then picked it up promptly thereafter. Parked in their lot and stuffed my face rapid-fire.

Successful trip all-around. I also like this spot because it's one of the newer locations. It just looked very clean from what I saw. (I believe this existed with the old facade when I was a kid, also, but I was a kid so I don't fully remember.)

Head's up: No left turn out of their lot.

This is a good stop if you're near Route 42 or heading through Clementon. It's also close to the Pike.",1,0,0,0
21464,4,1,2017-04-08,"I clearly ordered UNSWEETENED iced tea. They came out with sweet tea. I just noticed in the reviews that they did the same exact same thing to another customer.

Anyway, when I pointed out the mistake my server said she could not take back or refund the drink.  My only recourse was to order and pay for a new drink. So I placed the order, waited 10 minutes, but it never came. I pushed the call button, but I was ignored for five more minutes. I finally gave up and drove away without the drink I wanted. I ended up paying full price for a drink that was poured into the bushes.

I headed over to McDonalds and got exactly what I wanted for half the price.

I will not be going to Sonic again.",0,1,0,0
21465,6,4,2017-07-29,Always a good quick fix when you have a sweet tooth. The eegees drinks are perfect for the hot az weather. The sandwiches are bomb the fries are bomb and its just a good comforty az tradition that you have to love and get whenever you have a chance.,1,0,0,0
21466,7,3,2017-09-01,This Panda Express is big and has nice decor.  There is nice big wood table for large group. Lots is seating and two big screen tvs.,1,0,0,0
21467,6,5,2018-06-19,"I bought a kids hotdog meal and the original Italian Grinder on wheat bread with a Eegee flavor of the month (Orange Dream, my favorite) for me and my daughter yesterday.  The food was good and fresh, the service friendly, prompt, and accurate, and the rest rooms and seating area very clean.  Keep up the great work!",1,0,0,0
21468,8,3,2017-04-19,"That's a shame! 
This place is full of junkies customers 
The staff and the service is fast 
It's just too much like homeless or you can tell the addict people all coming here and soliciting",0,1,0,0
21469,6,1,2016-04-01,"The place was clean, the staff was very nice, my order came out fast, which is all very nice,.............. But.........
I just don't get it, it seems possibly a notch above subway, having been out east, I have no idea why people love this place so much, the sandwiches are not that good!!! Really, they're not, it is the other side of the coin of how people in a lot of eastern cities think chipotle and other such chains are good Mexican food, these sandwiches suck, sorry, also, got a lime ""eegees"" that was good, yum",0,1,0,0
21470,2,5,2018-01-11,"I had a coupon for a 5.00 meal. I was not expecting all I got for 5.00. A leg and thigh which were perfectly cooked. My sides were fresh coleslaw, a good sized side salad, 2 flour tortillas warm and fresh, fresh salsa and a large Diet Coke. The service at the drive thru was fast and courteous. This location is so very much better than the one on Prater in Sparks. I will be returning frequently!",1,0,0,0
21471,7,1,2017-12-30,I've never had an issue with this location until now. I went through the drive thru and ordered 3 entrees. After getting home my husband and I began to chow down on our food. I always look at my food before each bite and I'm glad I do otherwise I would never have noticed the long nasty hair wrapped in my food. It is definitely not my hair because I have black hair. The hair in my food was light brown. Let's just say this ruined my appetite and I will never come back here again! Disgusting!,0,1,0,0
21472,9,1,2016-04-12,"Placed an order of wings and bread sticks and had it delivered. Noticed that the wings had the wrong sauce on them so I called the pizza hut to let them know, I called at 8:50 PM and was told that wings would be remade and delivered back out to me. 3 hours the later the store is closed and no food was received. If you can, try and do take out from one of the other pizza huts and save yourself the trouble.",0,1,0,0
21473,4,1,2016-06-12,"(Should be ZERO stars)

Very poor experience on 6/11/16.  We waited about 20 minutes just to place our order from a parking spot via the call button.  The employees clearly saw us since one girl gave us a nasty look and another employee served a car next to us.  At 11:45ish PM, the lights were turned off (the ones covering the picnic tables and parking spots where we were)...sending a pretty strong message the employees were not wanting to serve anymore despite the restaurant having another 15 minutes of being open.  

If these Sonic employees at this location prepare food as carelessly as they treat customers, I'm glad I didn't eat here!",1,0,0,0
21474,9,1,2016-03-18,Omg!! I walked in and the smell of dirty mop and wet rags was so strong I lost my appetite as soon as I walked in. It was highly disappointing because I love Pizza Hut!! With sadness and disgust I turned right around and walked out! My ride home I was nauseous!! Not cool!,0,1,0,0
21475,7,3,2016-05-20,"If you are looking for ""fast"" fast food....ugh...this is not it!  It took 10 minutes to even order our food.  Speed does not seem to be their thing.  We ordered 2 bowls with orange chicken.....their speciality, right?  It still took another 5 minutes to get it!
I am not sure they are doing things the most effective way or what....but if you are in a hurry,  go elsewhere.

The food tastes just like any other Panda, so you get what you expect!",1,0,0,0
21476,10,5,2016-10-01,Excellent!!! The chicken was moist all the way through and tasted great. The baked beans were fantastic as well. Jerry's is now my go-to place for chicken.,1,0,0,0
21477,1,5,2017-12-30,"Stopped for breakfast ... service was quick and pleasent ...  Food was really good, bacon panini and loved the potatoes it comes with.  They also don't feel the need to charge extra for soda instead of coffee ... I'm good with that",1,0,0,0
21478,4,1,2018-06-27,"Wish I could rate the food but the place that is supposed to be open until 11pm decided to close at 10pm. Coming from a retail store manager, there is actually a chance at making some good money in the last hour, especially in Bellevue when everything but Krystal closes at 10pm.",1,0,0,0
21479,11,5,2016-02-24,Much better than Subway. Staff is friendly and quick. Good place to have lunch. There really isn't much more to say but the app is saying that this review is too short so now I'm padding it with a long sentence.,1,0,0,0
21480,12,1,2016-09-20,"My first experience at this store was  sub with burnt meatballs, so I didn't go back for awhile.  I went back this week and got a footlong steak sandwich yesterday and was surprised to see how little steak was on it.  I went back today and ordered a six inch, and watched the employee put the exact same amount of steak on my sandwich... 6 inch or foot long, you're getting the same amount.  I'm not a satisfied customer.",0,1,0,0
21481,3,2,2017-11-09,Mid century food in a place which is slightly below average in cleanliness and buffet was poorly stocked at 6 PM which is pretty much peak time. The seasonings are as the Colonel wanted but because they cook at less than ideal temps It's greasy. Popeyes and Church's chicken is better and so is Publix.,1,0,0,0
21482,2,5,2017-08-21,"I love coming to El Pollo Loco, it is always fresh and good. I have the nicest cashier lady today her name was Laura. She was friendly and nice, you don't come across that a lot so I thought I'd write a nice review about her. She makes me want to go back there more often now thank you",1,0,0,0
21483,4,1,2017-04-08,"This place is awful. Went to get an unsweet tea with orange flavoring. I used to get is all the time in Texas and the flavorings were unsweetened too. My drink came out tasting like sickly sweet cough syrup. So they either artificially sweetened the flavoring or added the flavoring to sweet tea by mistake. I reported that the drink wasn't what I expected and the manager acted as if I didn't know what I was talking about but said she would get us a regular unsweet tea. We waited several minutes, called for service again and were ignored. Decided it wasn't worth the trouble and went to McD's for a large unsweet tea. Sonic never again.",0,0,0,1
21484,3,1,2018-07-10,"Food: Luke warm 80 minutes before close 
Customer Service: got the eye roll for wanting to wait for my Mac and cheese instead of just getting another side. Got ignored at the window when my order was wrong. 
Probably the worst customer service I've had at any KFC location to date.",0,1,0,0
21485,9,4,2017-06-19,"This is one of the few Pizza Huts, that have a lunch pizza buffett. It is located off of SR 54, in an out parcel in front of a busy strip center.
The buffet consists of continuous pizzas with various toppings, their mock lasagna, red sausage with noodles & garlic bread sticks,  as well as cinnamon bread sticks with icing. Along with the buffet comes a plain house salad & dressing.
The place is always packed! The entire deal is $5.99, stop in, get a quick pizza fix & be on your way. Service is friendly & the pizza bar is well stocked....enjoy. Personally I enjoy Pizza Hut for the chain that it is & the thin & crispy crust. The dessert cookies & brownies are also very good.
What's a girl to do? For a quick pizza fix, works everytime.",1,0,0,0
21486,1,2,2016-12-22,"The tables are filthy.  I wiped one off with a napkin and it was black when I got done.  It's always very cold in there, management is too cheap or lazy to turn the heat up in the winter.  The food could be MUCH better.",1,0,0,0
21487,1,3,2017-07-10,"This was the first time I have tried this location, and I was not impressed.  The young man taking our order struggled, I am guessing because he was still learning the position.  This wasn't a problem for me.  Once we placed our order, we tried to find a table that was clean, but this turned out to be a little difficult as there was something either on the tables or the benches/chairs.  I eventually cleaned a table and benches using a napkin with some water on it.
When our order came, there was no kids frosty, as ordered, nor was there any sides of ranch.
The queso burger was disappointing, as it lacked the queso sauce.  While eating I watched a young man cleaning the tables.  To my surprise he was using a dry rag to wipe down the dirty tables.",0,1,0,0
21488,13,1,2016-02-01,"First clue were the filthy floors and stairs
avoid this location
they claim bread is fresh mine was stale",0,0,0,1
21489,7,4,2016-09-09,"Food was good. The service was really good. The dining room, just ok.

We asked them to make a couple new dishes and they were happy to help.",1,0,0,0
21490,3,2,2016-02-26,"The service and quality of food has quickly declined over the past few months. If the location was not convenient, I would not return.",0,0,0,1
